PRISM Time Series Data,,,
Location:  Lat: 43.4309   Lon: -85.5956   Elev: 850ft,,,
"Climate variables: tmin,tmean,tmax",,,
4/29/2015,34,48,62.1
4/30/2015,34.2,48.9,63.6
5/1/2015,34.8,48.9,63
5/2/2015,37.5,55.7,73.8
5/3/2015,44.5,59.1,73.7
5/4/2015,52.5,66,79.5
5/5/2015,47.2,61.2,75.3
5/6/2015,47.3,54,60.7
5/7/2015,50.8,63.6,76.3
5/8/2015,57.9,71.9,85.8
5/9/2015,60,70.5,81
5/10/2015,52,59.4,66.9
5/11/2015,47.8,51.9,55.9
5/12/2015,45.4,55.5,65.5
5/13/2015,36.3,43.2,50
5/14/2015,36,48.3,60.6
5/15/2015,41.4,53.3,65.2
5/16/2015,50,57.6,65.3
5/17/2015,56.1,67,77.9
5/18/2015,63,72.2,81.4
5/19/2015,44,62.3,80.6
5/20/2015,30,40.1,50.2
5/21/2015,34.2,45.9,57.7
5/22/2015,35,50.5,66
5/23/2015,35.3,50.7,66.1
5/24/2015,45.4,60.8,76.2
5/25/2015,58.2,65.1,72.1
5/26/2015,59.7,68.1,76.5
5/27/2015,60.2,69.5,78.8
5/28/2015,52.4,62.1,71.9
5/29/2015,54.5,67.8,81
5/30/2015,61.2,71.8,82.4
5/31/2015,42.8,54.6,66.4
6/1/2015,37.6,49,60.4
6/2/2015,37.5,52.1,66.8
6/3/2015,43.4,57.5,71.7
6/4/2015,49.3,63.1,76.8
6/5/2015,53.7,66.4,79.1
6/6/2015,48.8,60,71.3
6/7/2015,51.2,62.3,73.4
6/8/2015,58,66.5,75
6/9/2015,53.5,66.9,80.3
6/10/2015,55.1,66.8,78.4
6/11/2015,54.6,68,81.4
6/12/2015,55,63.9,72.8
6/13/2015,54.5,60.1,65.8
6/14/2015,56.5,62.9,69.3
6/15/2015,63.2,70.4,77.6
6/16/2015,59.7,69.9,80.1
6/17/2015,50.8,63.9,77
6/18/2015,56.5,67.3,78.1
6/19/2015,47.9,63.9,79.9
6/20/2015,48.5,60.8,73.1
6/21/2015,54.7,67,79.2
6/22/2015,57,69.4,81.8
6/23/2015,58.9,70.1,81.4
6/24/2015,49,62.1,75.3
6/25/2015,53.6,67,80.4
6/26/2015,56.7,66.2,75.8
6/27/2015,55.7,66,76.4
6/28/2015,47.8,61.6,75.3
6/29/2015,51.1,64.7,78.4
6/30/2015,53.2,65.8,78.5
7/1/2015,51.1,60.9,70.7
7/2/2015,46.7,56.5,66.4
7/3/2015,46.4,60.2,74.1
7/4/2015,48.9,63.5,78.1
7/5/2015,54.1,67.9,81.7
7/6/2015,56.9,70.1,83.3
7/7/2015,57.2,70.8,84.4
7/8/2015,45.9,58.1,70.4
7/9/2015,49.3,58.9,68.5
7/10/2015,49.8,63.7,77.6
7/11/2015,51.5,66.3,81.2
7/12/2015,57.6,70.2,82.7
7/13/2015,62,72.9,83.7
7/14/2015,63.1,72.3,81.6
7/15/2015,51.1,63.3,75.5
7/16/2015,48.8,61.5,74.3
7/17/2015,53.2,64.8,76.4
7/18/2015,64.6,74.1,83.7
7/19/2015,66.1,76.6,87.1
7/20/2015,58.3,69.7,81.1
7/21/2015,55.1,68.9,82.8
7/22/2015,50.5,64.1,77.6
7/23/2015,53.9,66.8,79.7
7/24/2015,55.8,70.5,85.1
7/25/2015,61.7,73.5,85.3
7/26/2015,53.8,69.9,86
7/27/2015,58.4,72.9,87.3
7/28/2015,59.4,74.4,89.5
7/29/2015,64.5,77,89.5
7/30/2015,61.8,74,86.2
7/31/2015,58.7,71.4,84.1
8/1/2015,54.5,69.1,83.7
8/2/2015,55.7,68.7,81.7
8/3/2015,56.7,72.8,89
8/4/2015,53,65.3,77.6
8/5/2015,51.4,64.4,77.5
8/6/2015,53.2,65.1,76.9
8/7/2015,56.2,66.9,77.6
8/8/2015,59.5,68.6,77.6
8/9/2015,61.3,66.9,72.5
8/10/2015,64.3,72.4,80.5
8/11/2015,57.6,69.4,81.3
8/12/2015,52.9,65.7,78.6
8/13/2015,56.2,67.3,78.4
8/14/2015,63.5,73.3,83.1
8/15/2015,60,74.5,89
8/16/2015,62.7,75.5,88.3
8/17/2015,65.2,76.8,88.4
8/18/2015,65.1,77,88.8
8/19/2015,66.7,73.8,80.9
8/20/2015,60.4,70.9,81.5
8/21/2015,49.5,58.7,68
8/22/2015,53.4,65.8,78.1
8/23/2015,57.7,69.2,80.7
8/24/2015,57.9,65.5,73.1
8/25/2015,53.3,60.5,67.7
8/26/2015,53.9,57.1,60.3
8/27/2015,49.7,57.4,65.2
8/28/2015,49,60.5,71.9
8/29/2015,51.3,62.9,74.5
8/30/2015,58.6,62.9,67.3
8/31/2015,56.9,67,77.1
9/1/2015,56.3,67.7,79.2
9/2/2015,59.7,73.5,87.4
9/3/2015,66,77,88
9/4/2015,65.3,72.9,80.6
9/5/2015,64.2,71,77.8
9/6/2015,62.7,72,81.2
9/7/2015,64.5,76.5,88.5
9/8/2015,66.9,75.7,84.5
9/9/2015,62.4,70.2,77.9
9/10/2015,51.1,62.6,74
9/11/2015,51,62.1,73.2
9/12/2015,42.7,55,67.3
9/13/2015,37.8,51,64.2
9/14/2015,39.2,53.9,68.5
9/15/2015,45.1,61.2,77.3
9/16/2015,52.2,67.2,82.1
9/17/2015,51.7,66.5,81.3
9/18/2015,53.6,68.1,82.6
9/19/2015,54.1,66.4,78.8
9/20/2015,43.7,55.7,67.8
9/21/2015,41.2,55.7,70.3
9/22/2015,41.6,56.7,71.8
9/23/2015,45.3,61.2,77
9/24/2015,48.1,63.3,78.4
9/25/2015,53.8,64.8,75.7
9/26/2015,52.4,65.3,78.2
9/27/2015,55.2,65.3,75.4
9/28/2015,57.8,65.6,73.4
9/29/2015,59,67.7,76.4
9/30/2015,39,51.1,63.2
10/1/2015,39.8,50.7,61.5
10/2/2015,40.3,50.1,59.9
10/3/2015,41.3,51.1,60.8
10/4/2015,44,48.2,52.4
10/5/2015,47.1,51.6,56.1
10/6/2015,52.1,56.2,60.3
10/7/2015,48.1,57.4,66.7
10/8/2015,40.5,54.5,68.5
10/9/2015,43.9,57.4,70.8
10/10/2015,36.2,48.5,60.8
10/11/2015,35.9,49.1,62.3
10/12/2015,52.7,63.1,73.5
10/13/2015,48.2,58.5,68.8
10/14/2015,45.4,50.3,55.2
10/15/2015,40.6,49.4,58.1
10/16/2015,34.8,48.8,62.8
10/17/2015,32.4,40.8,49.1
10/18/2015,28.8,37.9,47
10/19/2015,29.6,40.9,52.2
10/20/2015,36.9,52.4,67.9
10/21/2015,53.2,60.7,68.1
10/22/2015,45.7,56.9,68.2
10/23/2015,34.6,48.3,62
10/24/2015,35.2,46.1,57.1
10/25/2015,36.3,51,65.7
10/26/2015,31.6,45.8,60.1
10/27/2015,33.2,46.2,59.2
10/28/2015,40.6,50.6,60.7
10/29/2015,34.7,46,57.3
10/30/2015,35.4,40.4,45.5
10/31/2015,38.4,44.9,51.3
11/1/2015,42.7,46.7,50.6
11/2/2015,36.1,46,55.8
11/3/2015,38.5,53.7,68.8
11/4/2015,40,56.1,72.2
11/5/2015,40.1,55.5,70.9
11/6/2015,52.7,61.2,69.7
11/7/2015,38.2,45.4,52.7
11/8/2015,25.9,37.5,49
11/9/2015,25.7,38.8,51.8
11/10/2015,26.4,40.7,54.9
11/11/2015,27.4,41.3,55.1
11/12/2015,29,45,61
11/13/2015,36.6,43.2,49.8
11/14/2015,30.2,35.3,40.4
11/15/2015,29.1,40.1,51
11/16/2015,33.2,46.8,60.4
11/17/2015,34.7,49.1,63.4
11/18/2015,48.5,55.3,62
11/19/2015,45.9,53.5,61.2
11/20/2015,33.2,40.1,46.9
11/21/2015,30,35.3,40.6
11/22/2015,20.5,26.5,32.6
11/23/2015,18.5,25.7,32.8
11/24/2015,22.8,28.9,34.9
11/25/2015,27.3,35.3,43.3
11/26/2015,31.3,42.4,53.6
11/27/2015,39.8,48.3,56.9
11/28/2015,22.5,32.4,42.3
11/29/2015,15.3,25.7,36
11/30/2015,15.3,28.1,40.9
12/1/2015,25.4,32.1,38.7
12/2/2015,30.7,36.7,42.6
12/3/2015,26.9,34.5,42.1
12/4/2015,28.2,34.5,40.8
12/5/2015,28.4,38.5,48.6
12/6/2015,27.6,35.6,43.6
12/7/2015,26.5,35,43.4
12/8/2015,30.7,34.4,38.1
12/9/2015,35.4,39.5,43.6
12/10/2015,33.5,40.1,46.7
12/11/2015,39.2,48.5,57.9
12/12/2015,32.2,39.4,46.6
12/13/2015,38.5,42.2,45.9
12/14/2015,43.1,51.1,59.1
12/15/2015,36,46.7,57.5
12/16/2015,35.2,37.8,40.4
12/17/2015,33.7,40.7,47.7
12/18/2015,27.3,31,34.7
12/19/2015,21.2,25.1,29
12/20/2015,19.7,24.7,29.6
12/21/2015,24.2,34.8,45.4
12/22/2015,38.7,41.8,44.9
12/23/2015,35,39.3,43.5
12/24/2015,36.7,47.7,58.7
12/25/2015,31.7,36.6,41.5
12/26/2015,25.3,34.4,43.4
12/27/2015,28.3,32.9,37.4
12/28/2015,21.8,29.6,37.4
12/29/2015,21.8,27.3,32.9
12/30/2015,29.7,32.8,35.8
12/31/2015,27.9,30.3,32.7
1/1/2016,21.4,26.1,30.7
1/2/2016,21.3,25.7,30.1
1/3/2016,25.8,30.8,35.8
1/4/2016,19.5,25.9,32.4
1/5/2016,2.3,12.6,22.9
1/6/2016,6.2,17.6,29
1/7/2016,22.2,29.7,37.2
1/8/2016,30.4,35.3,40.2
1/9/2016,32.3,36.1,39.9
1/10/2016,24.3,31.2,38.1
1/11/2016,9.9,17.6,25.4
1/12/2016,10,14,18
1/13/2016,9.4,15.3,21.3
1/14/2016,9.7,15.4,21.2
1/15/2016,18.8,25.3,31.9
1/16/2016,25.1,31.9,38.7
1/17/2016,7.2,17.9,28.5
1/18/2016,6.2,10,13.9
1/19/2016,3.7,8.8,13.9
1/20/2016,2.4,12.5,22.6
1/21/2016,6.5,14.8,23
1/22/2016,16.4,22,27.6
1/23/2016,10.8,19.9,28.9
1/24/2016,11.9,21.9,31.8
1/25/2016,24.1,26.8,29.5
1/26/2016,25.2,31.8,38.5
1/27/2016,25.3,29.9,34.4
1/28/2016,24.5,29.2,34
1/29/2016,19.1,26.9,34.7
1/30/2016,18.3,26,33.6
1/31/2016,30.3,36.1,41.8
2/1/2016,30.5,37.3,44.1
2/2/2016,23.2,32.1,41
2/3/2016,28.8,32.2,35.6
2/4/2016,26.5,32.3,38
2/5/2016,16.3,22.9,29.5
2/6/2016,21,26.4,31.9
2/7/2016,25.9,30.5,35
2/8/2016,27.1,35,43
2/9/2016,24.6,32.6,40.5
2/10/2016,16.1,21.2,26.3
2/11/2016,10,15.3,20.5
2/12/2016,9.6,16,22.3
2/13/2016,2.4,11.8,21.2
2/14/2016,2.7,9,15.3
2/15/2016,2.6,11,19.4
2/16/2016,15.2,20.7,26.2
2/17/2016,23.6,27.2,30.9
2/18/2016,1.6,16,30.4
2/19/2016,1.7,20.9,40
2/20/2016,37.3,47.1,56.9
2/21/2016,34.3,42.8,51.3
2/22/2016,27.7,35.6,43.6
2/23/2016,25.3,31.4,37.4
2/24/2016,26.1,34.7,43.2
2/25/2016,29,32.3,35.5
2/26/2016,22,27.3,32.7
2/27/2016,22.3,27.8,33.2
2/28/2016,29.6,37.4,45.3
2/29/2016,28,41.1,54.3
3/1/2016,16.8,27.7,38.7
3/2/2016,14.8,18.2,21.6
3/3/2016,2.4,14.4,26.4
3/4/2016,0.4,15.3,30.2
3/5/2016,0.8,18.3,35.7
3/6/2016,18.8,27.6,36.3
3/7/2016,24.3,34.2,44.2
3/8/2016,39.4,49.5,59.5
3/9/2016,46,56.7,67.4
3/10/2016,41.8,51,60.2
3/11/2016,25.8,37.6,49.4
3/12/2016,26.9,39.8,52.8
3/13/2016,32.5,45.8,59
3/14/2016,40.3,45,49.7
3/15/2016,35.2,43,50.9
3/16/2016,36.6,45.4,54.2
3/17/2016,39.4,44.3,49.1
3/18/2016,28.7,37.6,46.5
3/19/2016,27.1,36.1,45
3/20/2016,21.7,31.7,41.7
3/21/2016,21.6,32.1,42.6
3/22/2016,24.2,33.9,43.6
3/23/2016,33.7,43.6,53.5
3/24/2016,28.2,32.3,36.4
3/25/2016,24,29.3,34.6
3/26/2016,24.5,34.4,44.3
3/27/2016,26.9,39.4,51.9
3/28/2016,34.5,48.9,63.3
3/29/2016,24.8,35.1,45.4
3/30/2016,25.9,39.8,53.7
3/31/2016,36.1,46.6,57.1
4/1/2016,32.8,47.3,61.7
4/2/2016,28.1,38.2,48.4
4/3/2016,17.6,26.8,35.9
4/4/2016,21.7,33.5,45.2
4/5/2016,13.8,23.9,34
4/6/2016,16,28.4,40.9
4/7/2016,30.8,36.6,42.4
4/8/2016,23.3,30.1,36.8
4/9/2016,20.1,29.5,38.9
4/10/2016,21.6,28.8,36
4/11/2016,27.4,36,44.5
4/12/2016,27.6,37.4,47.2
4/13/2016,28.4,37.7,47
4/14/2016,30.3,41,51.8
4/15/2016,31.4,45.8,60.2
4/16/2016,33.7,51.2,68.7
4/17/2016,40.5,58.8,77.1
4/18/2016,41.9,60.2,78.6
4/19/2016,45.7,63.2,80.7
4/20/2016,44.6,51.5,58.5
4/21/2016,45.7,56.6,67.4
4/22/2016,46.8,54,61.2
4/23/2016,31.1,45.3,59.6
4/24/2016,33.8,46.8,59.7
4/25/2016,41.6,52.4,63.2
4/26/2016,40.9,57.5,74.1
4/27/2016,28.8,37.6,46.4
4/28/2016,33.5,46.3,59.1
4/29/2016,35.4,39.3,43.1
4/30/2016,32.7,43.6,54.6
5/1/2016,39,47.3,55.6
5/2/2016,34.9,44,53
5/3/2016,32.5,46.2,60
5/4/2016,37.8,52,66.2
5/5/2016,35.3,40.9,46.6
5/6/2016,33.9,50.7,67.5
5/7/2016,38.6,56.6,74.5
5/8/2016,32.6,51.2,69.8
5/9/2016,35.5,50.7,66
5/10/2016,41.1,54.5,67.9
5/11/2016,44.8,50.2,55.7
5/12/2016,49.3,60.6,72
5/13/2016,48.3,59.4,70.5
5/14/2016,38.5,51.3,64.1
5/15/2016,30.8,38.9,47
5/16/2016,31.3,40.5,49.6
5/17/2016,40.5,53.5,66.4
5/18/2016,34.9,50.1,65.4
5/19/2016,32.9,50.2,67.5
5/20/2016,36.7,54.2,71.6
5/21/2016,45.8,59.7,73.7
5/22/2016,43.6,60.6,77.5
5/23/2016,41.9,59.5,77.1
5/24/2016,46.7,63.4,80
5/25/2016,56.1,70.2,84.3
5/26/2016,59.6,73,86.3
5/27/2016,56.3,69,81.8
5/28/2016,61.5,72.5,83.6
5/29/2016,61.3,72.3,83.2
5/30/2016,52.6,65.6,78.5
5/31/2016,49.6,66,82.4
6/1/2016,56.1,69.7,83.3
6/2/2016,52,62.4,72.9
6/3/2016,45.9,61.2,76.5
6/4/2016,52.4,66,79.6
6/5/2016,58.3,70.2,82
6/6/2016,49.5,60.1,70.7
6/7/2016,49.7,62.8,75.9
6/8/2016,39.8,49.8,59.8
6/9/2016,40.7,54,67.2
6/10/2016,44.8,58.8,72.8
6/11/2016,57.8,72.2,86.6
6/12/2016,47.8,68.1,88.3
6/13/2016,47.7,62.5,77.3
6/14/2016,52.8,61.6,70.5
6/15/2016,56.7,67.7,78.7
6/16/2016,57,69.5,81.9
6/17/2016,53.7,64.2,74.6
6/18/2016,54.1,70.9,87.7
6/19/2016,58.3,73.8,89.3
6/20/2016,63.6,76.4,89.1
6/21/2016,49.3,68.4,87.5
6/22/2016,49.5,64,78.6
6/23/2016,55.4,68.2,81
6/24/2016,49.3,63.1,76.8
6/25/2016,51.3,67.5,83.8
6/26/2016,58.8,73.2,87.7
6/27/2016,59.6,71.3,83.1
6/28/2016,51.9,67.3,82.8
6/29/2016,42,57.4,72.9
6/30/2016,45.8,62.6,79.4
7/1/2016,54.4,67.6,80.9
7/2/2016,46.7,59.4,72.2
7/3/2016,47.6,63.1,78.7
7/4/2016,49.5,65.1,80.8
7/5/2016,61.4,70.9,80.3
7/6/2016,63.8,73.9,83.9
7/7/2016,61.8,74.5,87.2
7/8/2016,62.1,74.6,87.1
7/9/2016,58.8,72.6,86.4
7/10/2016,51.7,65.6,79.6
7/11/2016,58.5,70.3,82
7/12/2016,65.1,74.8,84.4
7/13/2016,65.5,77.5,89.4
7/14/2016,66.9,76.9,86.9
7/15/2016,60.9,71.9,82.9
7/16/2016,49,59.5,70
7/17/2016,51,64.5,78
7/18/2016,57.4,70.6,83.8
7/19/2016,58.5,71.9,85.2
7/20/2016,57.3,71.3,85.4
7/21/2016,63.2,76.6,90
7/22/2016,67.9,76,84.1
7/23/2016,64,76.8,89.5
7/24/2016,67.9,80.5,93
7/25/2016,68.4,77.5,86.5
7/26/2016,60,72.6,85.1
7/27/2016,61.8,74.8,87.8
7/28/2016,64.9,76.6,88.3
7/29/2016,63.2,73.6,84
7/30/2016,60,68.5,76.9
7/31/2016,61.3,67.9,74.4
8/1/2016,56.2,66.9,77.5
8/2/2016,57.9,70.8,83.7
8/3/2016,58.6,72.6,86.5
8/4/2016,61.4,75.4,89.3
8/5/2016,67,78.8,90.7
8/6/2016,58.8,72.3,85.7
8/7/2016,55.8,69.9,83.9
8/8/2016,53.4,66.7,80
8/9/2016,54.7,69.1,83.5
8/10/2016,58.3,73,87.7
8/11/2016,63.9,77.4,90.9
8/12/2016,69,79.8,90.7
8/13/2016,70.7,75.8,81
8/14/2016,62.7,72.4,82.2
8/15/2016,59.3,71.3,83.4
8/16/2016,62.1,71.7,81.3
8/17/2016,64.4,74.6,84.8
8/18/2016,58.9,70.8,82.8
8/19/2016,61.8,73.6,85.4
8/20/2016,66.8,74.6,82.3
8/21/2016,60.3,68.6,76.8
8/22/2016,51,61.6,72.2
8/23/2016,52.4,64.7,76.9
8/24/2016,57.7,69.2,80.6
8/25/2016,65.7,73.5,81.3
8/26/2016,57,69.9,82.8
8/27/2016,57.5,68.9,80.4
8/28/2016,61.4,68.9,76.4
8/29/2016,59.6,71.5,83.4
8/30/2016,61.9,72.7,83.4
8/31/2016,62.7,73.2,83.8
9/1/2016,57,67.1,77.3
9/2/2016,46.6,60.5,74.4
9/3/2016,47.4,61.3,75.1
9/4/2016,48.7,62.3,75.9
9/5/2016,52.3,65.7,79
9/6/2016,57.6,71.5,85.5
9/7/2016,68.5,78.7,88.9
9/8/2016,69.7,76.2,82.6
9/9/2016,59.6,69.1,78.6
9/10/2016,61.1,70.6,80.1
9/11/2016,48.7,61.7,74.7
9/12/2016,48.9,60.8,72.7
9/13/2016,52.7,64.5,76.3
9/14/2016,56.1,66.8,77.6
9/15/2016,48.9,61.2,73.5
9/16/2016,48.9,61.1,73.4
9/17/2016,53.2,66.6,79.9
9/18/2016,54.3,65.8,77.3
9/19/2016,53.1,64.2,75.4
9/20/2016,54.3,68.2,82.2
9/21/2016,53.9,67.3,80.6
9/22/2016,57.7,67.7,77.7
9/23/2016,62.2,71.3,80.5
9/24/2016,49,58.7,68.4
9/25/2016,48.1,58.8,69.4
9/26/2016,49.7,62.2,74.8
9/27/2016,49.2,57.6,65.9
9/28/2016,49.3,55.1,60.8
9/29/2016,50.3,58.3,66.3
9/30/2016,56.7,60.3,64
10/1/2016,54.7,58.2,61.7
10/2/2016,52.8,58.7,64.7
10/3/2016,50.5,59.1,67.7
10/4/2016,52,58.8,65.5
10/5/2016,54.6,63.4,72.3
10/6/2016,52.1,65.2,78.2
10/7/2016,52.8,61.6,70.4
10/8/2016,38.8,57.2,75.6
10/9/2016,35.2,45.1,55.1
10/10/2016,35,48,60.9
10/11/2016,35.7,50.5,65.2
10/12/2016,49,59.8,70.7
10/13/2016,38.8,54.8,70.8
10/14/2016,33.7,45,56.2
10/15/2016,35.7,49,62.4
10/16/2016,43.7,55.9,68
10/17/2016,61.5,64,66.5
10/18/2016,64.4,69.7,75
10/19/2016,43.3,57.8,72.4
10/20/2016,43.5,55.8,68
10/21/2016,37.5,46.7,55.9
10/22/2016,36.4,44.7,53
10/23/2016,33.9,45.2,56.4
10/24/2016,35.6,50.8,66.1
10/25/2016,29.7,41.5,53.3
10/26/2016,31,42.8,54.5
10/27/2016,33.3,36.6,39.9
10/28/2016,32.5,40,47.6
10/29/2016,38.5,51,63.5
10/30/2016,45,56.7,68.4
10/31/2016,30.2,41.3,52.4
11/1/2016,30.4,43.5,56.5
11/2/2016,47.3,58.8,70.2
11/3/2016,45.9,52.2,58.5
11/4/2016,32.2,45.3,58.3
11/5/2016,31.3,44.4,57.5
11/6/2016,34.8,50.3,65.8
11/7/2016,34.7,50.5,66.3
11/8/2016,36.9,51.5,66
11/9/2016,36.3,46.5,56.7
11/10/2016,34.8,45.6,56.4
11/11/2016,41.8,51.1,60.4
11/12/2016,22.8,36.1,49.4
11/13/2016,23.5,37,50.5
11/14/2016,38.8,47.1,55.4
11/15/2016,34.3,46.2,58.2
11/16/2016,36,44.7,53.4
11/17/2016,33.3,44,54.8
11/18/2016,39.4,53,66.6
11/19/2016,35.5,52,68.5
11/20/2016,29.4,32.6,35.9
11/21/2016,27.5,29.9,32.3
11/22/2016,19,28.2,37.3
11/23/2016,19.3,29.3,39.4
11/24/2016,31.8,35.4,38.9
11/25/2016,35.2,39,42.8
11/26/2016,34.7,37.4,40
11/27/2016,29.5,35.4,41.4
11/28/2016,32.5,37.9,43.3
11/29/2016,37.3,44.1,50.9
11/30/2016,39.8,47.4,54.9
12/1/2016,34.9,42,49.1
12/2/2016,33.4,37.6,41.7
12/3/2016,32.9,35,37
12/4/2016,31.7,34.3,36.9
12/5/2016,30.4,33.4,36.4
12/6/2016,28.9,35.2,41.6
12/7/2016,28.9,34.3,39.7
12/8/2016,24.4,28.9,33.3
12/9/2016,22.8,25.9,29
12/10/2016,18.7,23.4,28
12/11/2016,16.8,20.6,24.4
12/12/2016,21.7,26.3,31
12/13/2016,22.2,25.5,28.8
12/14/2016,2,13.4,24.7
12/15/2016,4.1,12.5,21
12/16/2016,-0.1,7.5,15.2
12/17/2016,8.2,13.4,18.5
12/18/2016,11.4,16.8,22.3
12/19/2016,5,11.6,18.2
12/20/2016,3.4,12.6,21.7
12/21/2016,16.6,24.7,32.8
12/22/2016,20.9,28.3,35.7
12/23/2016,24.6,31.6,38.6
12/24/2016,28.5,32.6,36.7
12/25/2016,30.9,33.5,36.2
12/26/2016,32.2,37,41.7
12/27/2016,25.7,38,50.2
12/28/2016,21.2,24.2,27.2
12/29/2016,21.5,29.8,38.1
12/30/2016,25.7,30.6,35.5
12/31/2016,23.9,29.7,35.5
1/1/2017,19.9,28.7,37.5
1/2/2017,19.2,29.2,39.3
1/3/2017,21,30.7,40.5
1/4/2017,14.1,25.4,36.8
1/5/2017,9.7,12.7,15.7
1/6/2017,1.8,6.4,11.1
1/7/2017,1.2,8,14.8
1/8/2017,6.7,10.1,13.6
1/9/2017,10.4,14.7,19
1/10/2017,16.6,23.5,30.3
