PRISM Time Series Data
Location:  Lat: 45.7636   Lon: -88.4636   Elev: 1460ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-03
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Dec-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
2015-10-05,40.0,46.2,52.4
2015-10-06,43.7,49.1,54.5
2015-10-07,35.0,51.3,67.7
2015-10-08,35.4,47.1,58.9
2015-10-09,43.1,47.8,52.6
2015-10-10,32.8,44.7,56.6
2015-10-11,36.1,49.8,63.6
2015-10-12,51.5,66.4,81.4
2015-10-13,44.8,55.9,67.1
2015-10-14,30.2,39.3,48.5
2015-10-15,30.6,46.1,61.6
2015-10-16,32.2,44.5,56.7
2015-10-17,26.6,33.3,40.0
2015-10-18,23.1,32.6,42.2
2015-10-19,24.1,38.6,53.1
2015-10-20,36.4,51.2,65.9
2015-10-21,36.4,46.7,56.9
2015-10-22,35.1,52.2,69.2
2015-10-23,32.2,44.1,55.9
2015-10-24,35.1,42.9,50.7
2015-10-25,31.5,41.6,51.8
2015-10-26,29.6,40.6,51.6
2015-10-27,35.1,39.4,43.8
2015-10-28,41.4,48.0,54.6
2015-10-29,32.5,41.0,49.5
2015-10-30,32.5,38.2,43.9
2015-10-31,35.5,40.2,44.9
2015-11-01,39.6,42.5,45.5
2015-11-02,34.0,42.0,50.1
2015-11-03,32.4,46.7,61.0
2015-11-04,35.2,51.6,68.1
2015-11-05,39.4,48.7,58.0
2015-11-06,40.0,51.6,63.3
2015-11-07,30.5,38.3,46.0
2015-11-08,24.2,32.2,40.2
2015-11-09,29.1,42.7,56.4
2015-11-10,24.9,41.9,58.9
2015-11-11,24.7,40.3,56.0
2015-11-12,28.7,40.9,53.0
2015-11-13,30.8,38.3,45.8
2015-11-14,21.2,29.5,37.7
2015-11-15,24.1,34.5,44.9
2015-11-16,28.5,43.5,58.5
2015-11-17,38.8,46.4,53.9
2015-11-18,44.9,48.5,52.2
2015-11-19,35.4,44.7,54.0
2015-11-20,25.7,30.6,35.4
2015-11-21,16.3,24.2,32.2
2015-11-22,8.4,18.2,27.9
2015-11-23,8.9,18.1,27.4
2015-11-24,20.4,27.4,34.3
2015-11-25,26.0,31.4,36.8
2015-11-26,31.5,36.0,40.4
2015-11-27,22.3,30.1,37.8
2015-11-28,4.9,15.5,26.1
2015-11-29,8.1,20.8,33.5
2015-11-30,9.2,22.6,35.9
2015-12-01,22.5,29.1,35.6
2015-12-02,27.3,31.4,35.5
2015-12-03,27.5,32.3,37.0
2015-12-04,21.7,30.3,38.9
2015-12-05,20.7,35.3,50.0
2015-12-06,27.2,36.8,46.5
2015-12-07,25.7,34.4,43.1
2015-12-08,27.3,30.9,34.5
2015-12-09,33.4,35.6,37.8
2015-12-10,32.7,37.3,41.9
2015-12-11,33.5,40.2,46.9
2015-12-12,30.7,34.3,37.9
2015-12-13,32.2,34.8,37.3
2015-12-14,35.5,38.4,41.3
2015-12-15,28.5,32.2,35.9
2015-12-16,27.9,31.2,34.5
2015-12-17,25.4,32.9,40.4
2015-12-18,17.2,21.5,25.8
2015-12-19,9.3,13.6,17.9
2015-12-20,8.6,16.1,23.6
2015-12-21,20.0,27.0,34.0
2015-12-22,25.0,28.0,31.1
2015-12-23,25.6,30.2,34.9
2015-12-24,27.1,36.3,45.4
2015-12-25,23.3,25.5,27.6
2015-12-26,21.4,23.7,25.9
2015-12-27,23.9,27.1,30.3
2015-12-28,13.0,20.2,27.5
2015-12-29,15.2,18.3,21.5
2015-12-30,19.4,22.1,24.8
2015-12-31,19.1,22.4,25.7
2016-01-01,14.2,18.1,22.0
2016-01-02,12.9,18.2,23.5
2016-01-03,12.4,24.0,35.7
2016-01-04,14.3,19.6,25.0
2016-01-05,6.5,15.5,24.5
2016-01-06,10.3,19.8,29.4
2016-01-07,19.1,24.9,30.6
2016-01-08,25.7,29.0,32.3
2016-01-09,28.2,30.8,33.5
2016-01-10,6.7,17.1,27.4
2016-01-11,-9.4,1.1,11.6
2016-01-12,-10.1,-0.4,9.3
2016-01-13,-8.0,-0.2,7.7
2016-01-14,-5.7,1.7,9.0
2016-01-15,6.6,14.2,21.8
2016-01-16,13.1,18.7,24.2
2016-01-17,-8.6,3.3,15.3
2016-01-18,-8.8,-1.5,5.7
2016-01-19,-8.4,-1.0,6.4
2016-01-20,-6.6,5.0,16.5
2016-01-21,-2.9,9.2,21.3
2016-01-22,14.8,18.5,22.2
2016-01-23,-4.3,10.2,24.8
2016-01-24,-4.6,12.1,28.8
2016-01-25,20.2,23.2,26.2
2016-01-26,22.2,24.7,27.3
2016-01-27,16.4,21.9,27.5
2016-01-28,16.4,25.4,34.4
2016-01-29,-6.7,9.7,26.0
2016-01-30,-7.4,9.1,25.6
2016-01-31,24.1,34.2,44.3
2016-02-01,19.6,28.8,37.9
2016-02-02,17.2,25.9,34.5
2016-02-03,22.7,26.5,30.3
2016-02-04,13.2,21.3,29.4
2016-02-05,1.2,14.4,27.6
2016-02-06,5.3,16.9,28.5
2016-02-07,21.5,25.7,29.8
2016-02-08,25.4,30.0,34.6
2016-02-09,10.0,18.4,26.8
2016-02-10,2.0,7.9,13.8
2016-02-11,-0.5,5.1,10.6
2016-02-12,0.6,9.4,18.2
2016-02-13,-13.3,-1.4,10.5
2016-02-14,-24.4,-6.1,12.1
2016-02-15,-22.4,-0.1,22.2
2016-02-16,13.0,17.9,22.8
2016-02-17,6.3,18.4,30.6
2016-02-18,-7.3,9.9,27.0
2016-02-19,1.7,17.8,33.9
2016-02-20,32.8,36.3,39.8
2016-02-21,25.7,33.2,40.8
2016-02-22,18.9,23.6,28.2
2016-02-23,16.7,21.7,26.6
2016-02-24,16.8,25.6,34.4
2016-02-25,23.7,29.1,34.5
2016-02-26,13.2,21.3,29.3
2016-02-27,17.8,25.7,33.7
2016-02-28,28.8,42.3,55.9
2016-02-29,20.2,25.8,31.5
2016-03-01,0.5,13.8,27.2
2016-03-02,-8.0,6.2,20.4
2016-03-03,-4.8,11.2,27.3
2016-03-04,-1.7,14.5,30.6
2016-03-05,3.0,19.2,35.3
2016-03-06,26.3,29.3,32.4
2016-03-07,26.2,37.5,48.8
2016-03-08,29.6,42.8,55.9
2016-03-09,37.2,46.5,55.8
2016-03-10,31.3,38.1,45.0
2016-03-11,19.3,32.2,45.2
2016-03-12,21.7,35.4,49.0
2016-03-13,33.7,50.1,66.5
2016-03-14,34.9,41.7,48.4
2016-03-15,34.5,44.7,54.9
2016-03-16,34.9,42.8,50.8
2016-03-17,28.9,34.1,39.2
2016-03-18,25.3,29.8,34.3
2016-03-19,12.9,22.5,32.2
2016-03-20,12.0,25.1,38.1
2016-03-21,14.4,27.2,40.1
2016-03-22,19.4,31.1,42.8
2016-03-23,21.9,29.8,37.6
2016-03-24,21.9,29.3,36.6
2016-03-25,6.1,20.1,34.2
2016-03-26,10.5,28.1,45.7
2016-03-27,29.6,40.5,51.3
2016-03-28,28.3,34.8,41.3
2016-03-29,23.5,36.2,48.8
2016-03-30,26.9,41.6,56.3
2016-03-31,33.2,36.5,39.9
2016-04-01,27.2,31.8,36.5
2016-04-02,20.5,28.7,37.0
2016-04-03,11.5,20.2,29.0
2016-04-04,16.6,22.5,28.3
2016-04-05,5.5,18.3,31.1
2016-04-06,10.9,26.3,41.7
2016-04-07,28.0,30.9,33.8
2016-04-08,23.9,29.9,35.9
2016-04-09,5.8,17.3,28.8
2016-04-10,10.7,22.0,33.3
2016-04-11,25.8,33.5,41.3
2016-04-12,25.9,30.8,35.7
2016-04-13,26.4,35.3,44.2
2016-04-14,28.7,34.8,40.9
2016-04-15,31.1,46.6,62.0
2016-04-16,30.0,48.3,66.6
2016-04-17,34.6,55.3,76.0
2016-04-18,42.1,60.9,79.7
2016-04-19,33.6,52.0,70.5
2016-04-20,32.7,48.2,63.7
2016-04-21,42.5,53.9,65.2
2016-04-22,32.7,49.8,66.9
2016-04-23,25.3,39.4,53.5
2016-04-24,29.8,44.0,58.1
2016-04-25,35.6,38.4,41.1
2016-04-26,32.7,36.1,39.5
2016-04-27,26.5,39.4,52.2
2016-04-28,32.3,43.2,54.0
2016-04-29,35.2,44.6,53.9
2016-04-30,29.2,43.6,58.0
2016-05-01,32.9,44.5,56.2
2016-05-02,27.3,44.4,61.6
2016-05-03,30.2,47.4,64.7
2016-05-04,36.4,50.2,64.1
2016-05-05,26.0,36.4,46.9
2016-05-06,34.6,52.2,69.8
2016-05-07,41.5,65.3,89.2
2016-05-08,33.4,48.4,63.5
2016-05-09,29.9,47.3,64.8
2016-05-10,40.0,52.0,63.9
2016-05-11,44.7,50.6,56.5
2016-05-12,46.3,53.3,60.3
2016-05-13,44.6,55.6,66.6
2016-05-14,30.9,40.8,50.8
2016-05-15,29.6,34.9,40.3
2016-05-16,33.7,44.2,54.6
2016-05-17,26.3,41.6,56.8
2016-05-18,27.4,44.8,62.2
2016-05-19,31.5,49.8,68.1
2016-05-20,36.1,54.8,73.6
2016-05-21,36.9,55.6,74.3
2016-05-22,39.7,59.1,78.5
2016-05-23,49.6,65.9,82.3
2016-05-24,53.6,69.0,84.3
2016-05-25,51.9,63.6,75.3
2016-05-26,53.8,64.1,74.4
2016-05-27,50.2,62.3,74.3
2016-05-28,58.2,65.8,73.4
2016-05-29,58.2,67.2,76.3
2016-05-30,46.2,59.5,72.9
2016-05-31,46.1,62.0,77.9
2016-06-01,48.4,59.7,71.0
2016-06-02,49.1,62.1,75.0
2016-06-03,43.9,56.3,68.7
2016-06-04,51.7,62.5,73.2
2016-06-05,51.0,58.1,65.2
2016-06-06,49.1,59.3,69.6
2016-06-07,45.4,53.3,61.1
2016-06-08,32.5,45.9,59.4
2016-06-09,43.4,55.4,67.4
2016-06-10,48.1,62.2,76.4
2016-06-11,55.7,67.4,79.0
2016-06-12,41.1,62.6,84.0
2016-06-13,47.6,60.8,73.9
2016-06-14,51.3,57.1,62.8
2016-06-15,55.9,63.7,71.5
2016-06-16,51.5,59.0,66.6
2016-06-17,46.0,61.4,76.9
2016-06-18,56.0,70.1,84.2
2016-06-19,59.7,72.6,85.5
2016-06-20,66.4,76.0,85.7
2016-06-21,46.5,61.1,75.7
2016-06-22,44.6,59.8,75.1
2016-06-23,51.1,64.1,77.0
2016-06-24,45.9,62.2,78.5
2016-06-25,52.2,67.1,82.0
2016-06-26,63.1,73.1,83.1
2016-06-27,58.0,70.1,82.2
2016-06-28,46.0,55.3,64.6
2016-06-29,40.3,56.9,73.4
2016-06-30,47.7,62.3,77.0
2016-07-01,45.7,59.7,73.7
2016-07-02,41.8,56.6,71.4
2016-07-03,44.6,60.8,77.0
2016-07-04,47.1,63.1,79.2
2016-07-05,53.6,66.3,79.1
2016-07-06,62.1,74.1,86.1
2016-07-07,54.4,68.4,82.4
2016-07-08,60.0,65.1,70.2
2016-07-09,54.2,63.9,73.6
2016-07-10,47.9,61.4,74.9
2016-07-11,56.0,62.7,69.5
2016-07-12,61.9,71.0,80.2
2016-07-13,62.2,72.6,83.0
2016-07-14,61.3,72.9,84.6
2016-07-15,54.6,63.1,71.5
2016-07-16,43.5,56.0,68.6
2016-07-17,51.1,63.9,76.8
2016-07-18,53.7,66.5,79.3
2016-07-19,48.7,63.6,78.4
2016-07-20,56.2,69.1,82.0
2016-07-21,65.4,76.6,87.8
2016-07-22,59.6,74.4,89.3
2016-07-23,55.2,72.7,90.2
2016-07-24,64.0,75.0,86.1
2016-07-25,58.7,71.4,84.1
2016-07-26,54.1,67.5,81.0
2016-07-27,60.6,74.2,87.9
2016-07-28,57.2,65.0,72.8
2016-07-29,46.8,60.2,73.7
2016-07-30,47.6,62.6,77.6
2016-07-31,45.8,62.1,78.4
2016-08-01,48.8,64.2,79.6
2016-08-02,54.7,68.5,82.4
2016-08-03,61.1,71.8,82.5
2016-08-04,65.0,76.4,87.7
2016-08-05,59.9,71.2,82.5
2016-08-06,51.5,63.5,75.5
2016-08-07,47.1,62.4,77.7
2016-08-08,46.9,63.7,80.4
2016-08-09,54.1,66.9,79.8
2016-08-10,61.3,71.8,82.3
2016-08-11,66.3,76.9,87.5
2016-08-12,63.1,70.1,77.1
2016-08-13,61.5,67.2,73.0
2016-08-14,51.1,62.4,73.7
2016-08-15,48.5,63.2,77.9
2016-08-16,52.6,66.8,81.0
2016-08-17,56.0,68.6,81.2
2016-08-18,55.5,69.4,83.3
2016-08-19,60.1,71.7,83.2
2016-08-20,60.1,66.5,72.8
2016-08-21,53.8,58.3,62.7
2016-08-22,40.6,53.3,66.1
2016-08-23,49.9,63.1,76.3
2016-08-24,60.8,70.6,80.4
2016-08-25,56.2,65.9,75.6
2016-08-26,50.9,63.9,76.8
2016-08-27,51.9,61.7,71.5
2016-08-28,54.9,62.4,69.9
2016-08-29,54.0,66.2,78.3
2016-08-30,61.5,72.3,83.1
2016-08-31,44.3,60.9,77.5
2016-09-01,47.5,59.0,70.4
2016-09-02,37.0,52.6,68.2
2016-09-03,39.2,56.5,73.7
2016-09-04,42.9,58.5,74.1
2016-09-05,49.7,62.7,75.7
2016-09-06,61.8,70.5,79.1
2016-09-07,61.9,68.7,75.5
2016-09-08,63.1,66.4,69.7
2016-09-09,46.7,60.9,75.1
2016-09-10,49.0,58.3,67.5
2016-09-11,41.0,51.4,61.8
2016-09-12,44.5,58.0,71.6
2016-09-13,53.6,64.6,75.7
2016-09-14,39.7,54.2,68.8
2016-09-15,39.9,53.9,67.9
2016-09-16,47.1,59.3,71.4
2016-09-17,52.2,60.9,69.6
2016-09-18,51.2,60.6,70.0
2016-09-19,52.6,63.4,74.2
2016-09-20,42.2,57.4,72.5
2016-09-21,45.1,59.3,73.6
2016-09-22,52.5,62.0,71.5
2016-09-23,49.3,60.3,71.3
2016-09-24,47.8,57.2,66.7
2016-09-25,50.0,59.1,68.2
2016-09-26,47.6,56.6,65.6
2016-09-27,47.8,50.3,52.9
2016-09-28,46.0,48.5,51.0
2016-09-29,44.6,52.9,61.3
2016-09-30,42.6,55.7,68.8
2016-10-01,47.6,57.6,67.7
2016-10-02,47.6,55.7,63.9
2016-10-03,35.9,52.4,68.9
2016-10-04,37.2,52.9,68.6
2016-10-05,51.8,58.3,64.9
2016-10-06,38.4,52.1,65.9
2016-10-07,39.1,54.0,68.9
2016-10-08,38.2,48.9,59.6
2016-10-09,27.8,40.2,52.7
2016-10-10,28.8,41.3,53.8
2016-10-11,39.0,53.7,68.3
2016-10-12,49.1,57.4,65.8
2016-10-13,28.3,38.9,49.6
2016-10-14,25.4,34.5,43.6
2016-10-15,31.9,43.7,55.6
2016-10-16,42.5,51.8,61.1
2016-10-17,42.0,54.9,67.8
2016-10-18,50.6,58.2,65.7
2016-10-19,34.7,49.6,64.5
2016-10-20,30.8,46.2,61.7
2016-10-21,32.3,38.9,45.4
2016-10-22,26.9,36.4,45.9
2016-10-23,28.3,42.3,56.3
2016-10-24,29.6,38.7,47.9
2016-10-25,24.0,37.3,50.5
2016-10-26,24.5,36.7,48.9
2016-10-27,33.2,36.1,39.1
2016-10-28,32.1,37.2,42.3
2016-10-29,37.6,46.7,55.8
2016-10-30,36.1,43.9,51.7
2016-10-31,31.0,40.1,49.3
2016-11-01,38.0,45.1,52.3
2016-11-02,31.2,47.4,63.6
2016-11-03,31.3,44.2,57.2
2016-11-04,25.7,39.3,53.0
2016-11-05,27.3,45.1,62.8
2016-11-06,29.9,50.1,70.3
2016-11-07,28.9,49.6,70.3
2016-11-08,36.5,50.0,63.4
2016-11-09,26.6,36.6,46.7
2016-11-10,28.0,42.6,57.2
2016-11-11,36.5,51.4,66.3
2016-11-12,18.8,31.6,44.4
2016-11-13,31.3,41.7,52.2
2016-11-14,31.5,45.6,59.7
2016-11-15,30.8,42.3,53.8
2016-11-16,32.5,39.7,47.0
2016-11-17,36.6,43.6,50.7
2016-11-18,42.5,48.4,54.4
2016-11-19,26.6,40.6,54.5
2016-11-20,20.8,23.9,27.0
2016-11-21,16.3,21.3,26.3
2016-11-22,9.8,21.4,32.9
2016-11-23,10.9,22.2,33.5
2016-11-24,29.3,31.0,32.7
2016-11-25,30.3,32.6,34.9
2016-11-26,27.7,31.2,34.7
2016-11-27,23.4,30.7,38.0
2016-11-28,26.4,33.1,39.8
2016-11-29,37.4,40.4,43.4
2016-11-30,29.0,33.7,38.3
2016-12-01,30.4,33.8,37.1
2016-12-02,27.1,31.0,34.8
2016-12-03,27.2,30.0,32.8
2016-12-04,26.4,28.8,31.1
2016-12-05,26.7,29.4,32.0
2016-12-06,30.4,35.3,40.2
2016-12-07,17.8,25.9,33.9
